Position RDA3 color vapr AnnTemp Iso TempSea MaxTempWarm MinTempCold AnnPre PreWet PreDry predictor correlation
2577134 0.00484741448977343 darkred 0.0668186436702309 0.258120921174187 -0.30023936773962 0.35377915507216 0.189546504515493 0.0409540012062634 -0.26030229154122 -0.23486456050171 -0.256118501756472 TempSea 0.35377915507216
2578572 0.00426362680109816 darkred 0.0525200641069128 0.224889105044788 -0.278487319882069 0.326792789538103 0.166707768337231 0.025900980998601 -0.251962598165618 -0.237584592021112 -0.254263711336191 TempSea 0.326792789538103
2586797 0.00504544348040107 darkred 0.057083741649144 0.285409892610235 -0.319700710994497 0.383660396565474 0.225090960884392 0.0261515733809979 -0.306027656205048 -0.238656687898857 -0.242704033396206 TempSea 0.383660396565474
2586841 0.00508840373506418 darkred 0.0593644889752581 0.293260681420016 -0.326753417364721 0.389953696973259 0.231840193506305 0.0270918894879701 -0.308228907736391 -0.235438568609671 -0.247179744266905 TempSea 0.389953696973259
2749850 0.0044231879468457 darkred -0.0580745412620131 0.133061124208236 -0.11936257027113 0.279788180299055 0.175814711439309 -0.0492098841310665 -0.323522612224586 -0.339969823035126 0.0679547611725777 PreWet 0.339969823035126
2803545 0.00396687505320296 darkred 0.0305930501762797 0.157918830533021 -0.0989587434953829 0.177471622246728 0.136288022038113 0.0153687254246713 0.00819810244666637 -0.117724494886462 -0.0927009113312798 TempSea 0.177471622246728
2820942 0.00617410050896504 darkred 0.0705669496258101 0.220872214363401 -0.168056861167302 0.239204840590108 0.162483944679158 0.0640645174710282 -0.00553766592914705 -0.0955208421675625 -0.104884910374616 TempSea 0.239204840590108
2821791 0.00541798498172464 darkred 0.00132652617963192 0.13382366524733 -0.0876111708174601 0.166102630248364 0.124804394626279 -0.00319542339713902 0.0141958814820236 -0.12446183985566 -0.101835607619236 TempSea 0.166102630248364
2823007 0.00418665589207447 darkred -0.0041375196554305 0.24363761956108 -0.17180241558456 0.181743692199618 0.228771170507354 -0.0396060408617206 0.0265775217850299 0.0679009157724867 -0.219036000385968 AnnTemp 0.24363761956108
2825884 0.00415741023221259 darkred 0.00349227318076588 0.296086495277241 -0.238304415806253 0.219916421920622 0.272247384554801 -0.0528367524106416 0.0080669522241418 0.13350258346254 -0.279427020001269 AnnTemp 0.296086495277241
2825929 0.0042230803712126 darkred 0.00761455403288511 0.296113809629187 -0.247868643879206 0.228516277904405 0.26943903065816 -0.0514067298884895 0.00108609438724308 0.128968455128566 -0.282131736724191 AnnTemp 0.296113809629187
2826086 0.0042230803712126 darkred 0.00761455403288511 0.296113809629187 -0.247868643879206 0.228516277904405 0.26943903065816 -0.0514067298884895 0.00108609438724308 0.128968455128566 -0.282131736724191 AnnTemp 0.296113809629187
2826511 0.00498569183588863 darkred 0.016494108243116 0.189055343690329 -0.137270766808338 0.182082760753485 0.160911945251724 0.00367881626168699 0.0170665945338321 -0.0413892759470973 -0.149886871908283 AnnTemp 0.189055343690329
2830500 0.00414947548687233 darkred 0.0180674933197203 0.338453332940356 -0.248131896254931 0.269447034087148 0.318495258563905 -0.0375447791885978 -0.0128039002291593 0.0843788023212085 -0.255476927448792 AnnTemp 0.338453332940356
2830699 0.00418882391001772 darkred 0.035568555700598 0.302705164026461 -0.224977703879585 0.237186342823482 0.271294606015623 -0.0149474885488838 0.005835536402855 0.0777027890039917 -0.22896319640513 AnnTemp 0.302705164026461
2830854 0.00430182648244543 darkred 0.0421143021290798 0.331160697072895 -0.302994989732925 0.313924254930749 0.296096468883334 -0.0304276990295383 -0.0470495592948626 0.0623834812200431 -0.273062419229781 AnnTemp 0.331160697072895
2830931 0.0041287664789369 darkred 0.0206824408566294 0.345236195720367 -0.253502946721338 0.272569956726355 0.323959349452187 -0.0366430411154834 -0.0134631667353867 0.0910580191269151 -0.259324270435567 AnnTemp 0.345236195720367
2839535 0.00431607229810657 darkred 0.0308350846770899 0.327868894901198 -0.237714342725971 0.256769022906693 0.297176860875324 -0.0179308952525482 -0.00160420834128586 0.0795639829864585 -0.239032149667182 AnnTemp 0.327868894901198
2845287 0.00518137068844813 darkred 0.0199864157749824 0.226610059110094 -0.160424523305664 0.253230271919409 0.213644261694533 -0.00204794548621458 -0.0256172184664712 -0.110207728728996 -0.134043863650061 TempSea 0.253230271919409
